EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,Salary,YearsAtCompany,YearsInCurrentRole,JobSatisfaction,WorkLifeBalance,Overtime,DistanceFromHome,TrainingTimesLastYear,PerformanceRating,NumCompaniesWorked,StockOptionLevel,TotalWorkingYears,JobInvolvement,Education,EnvironmentSatisfaction,MonthlyIncome,JobLevel,YearsSinceLastPromotion,YearsWithCurrManager,HourlyRate,DailyRate,MonthlyRate,Attrition
19,42,Male,Married,HR,Executive,81148,17,8,4,3,No,38,8,2,4,2,1,4,Master's,1,19732,3,8,2,38,1449,24885,No
20,54,Female,Married,HR,Analyst,143936,2,11,2,4,Yes,22,1,2,5,1,1,3,PhD,4,7601,4,13,11,46,1603,15309,No
21,33,Female,Divorced,HR,Engineer,46279,29,6,1,4,No,43,9,4,3,2,39,1,Bachelor's,3,15930,3,7,13,92,249,4661,No
22,43,Female,Married,Operations,Analyst,98665,20,8,3,4,Yes,48,0,4,1,2,5,1,PhD,1,7333,4,1,1,55,806,17133,Yes
23,46,Male,Married,Operations,Manager,133751,6,10,2,3,Yes,27,9,4,1,2,22,3,Bachelor's,1,8399,1,1,4,33,1094,24549,Yes
24,48,Male,Married,IT,Engineer,134433,8,3,2,2,No,37,7,2,2,0,26,2,High School,1,10436,3,11,9,23,1715,10210,No
25,49,Female,Married,Finance,Analyst,101386,29,14,3,1,Yes,46,8,2,4,1,6,3,Master's,4,17947,2,2,9,14,1613,5358,No
26,37,Male,Divorced,IT,Clerk,116124,33,14,3,3,No,49,6,1,5,1,32,3,High School,2,16961,4,6,8,62,1950,2275,Yes
27,36,Female,Single,Sales,Engineer,135750,3,10,1,4,Yes,35,7,1,3,2,11,2,Bachelor's,2,11086,3,8,12,97,252,6078,Yes
28,24,Male,Single,HR,Engineer,107485,35,12,4,1,Yes,4,3,4,1,0,10,1,High School,4,6682,1,7,9,39,1140,23138,Yes
29,58,Male,Married,HR,Executive,104055,5,6,2,2,No,16,3,2,3,1,39,3,PhD,3,4854,3,8,5,69,650,13137,Yes
30,28,Male,Single,HR,Clerk,121911,27,12,4,1,No,16,1,4,5,1,34,2,PhD,3,5985,4,5,10,82,944,6698,Yes
31,42,Male,Single,IT,Manager,128618,12,14,2,4,No,21,7,4,3,2,31,4,Bachelor's,3,13817,1,0,3,37,1471,2364,Yes
32,30,Female,Married,IT,Analyst,107273,20,2,1,3,No,26,1,1,4,0,12,4,Master's,4,10496,2,13,13,35,1582,12165,Yes
33,39,Female,Married,HR,Executive,96670,20,9,3,3,Yes,36,8,3,2,2,16,2,PhD,2,3558,4,11,16,27,1325,2794,No
34,25,Female,Single,IT,Analyst,106474,9,10,1,4,No,19,3,4,3,1,38,1,Master's,4,4254,4,3,19,45,1546,15646,Yes
35,46,Male,Divorced,Operations,Manager,84028,39,17,3,3,Yes,17,0,3,2,0,3,2,Bachelor's,2,18667,1,12,1,17,379,25179,Yes
36,35,Female,Married,Operations,Manager,120022,4,17,4,4,Yes,45,3,3,5,2,2,1,Master's,1,19078,4,5,9,27,521,7870,Yes
37,30,Female,Divorced,IT,Engineer,143892,19,3,4,3,Yes,26,2,2,2,1,5,4,Bachelor's,4,13006,3,14,2,93,1723,2589,No
38,47,Female,Single,HR,Manager,121632,38,19,1,3,Yes,22,5,2,3,2,11,3,High School,2,9283,2,11,6,67,1092,22678,No
39,23,Male,Married,IT,Analyst,136651,27,1,3,3,Yes,28,6,4,3,2,25,2,Bachelor's,1,11854,3,5,6,41,1588,6313,No
40,41,Male,Divorced,IT,Clerk,101128,13,12,1,2,Yes,1,7,1,1,2,35,4,High School,1,15308,1,14,0,58,1935,27316,Yes
41,49,Male,Married,IT,Clerk,48108,13,7,3,2,No,44,1,1,3,0,35,3,Bachelor's,4,6325,4,7,7,57,903,18211,Yes
42,28,Female,Single,Sales,Engineer,82495,22,4,3,4,Yes,36,5,4,2,1,22,4,PhD,2,6143,2,14,0,91,454,23129,Yes
43,29,Female,Divorced,Operations,Analyst,112806,28,10,4,2,Yes,43,5,4,1,1,37,2,PhD,1,6037,1,0,7,80,1705,28770,No
44,56,Female,Single,Finance,Analyst,123185,22,13,4,4,Yes,37,9,1,3,1,22,2,Master's,4,15417,3,12,13,74,477,9377,No
45,35,Male,Single,Finance,Manager,106533,19,2,3,1,No,2,4,3,3,1,11,3,Bachelor's,1,7675,4,10,13,42,1247,10861,No
46,38,Male,Married,Sales,Analyst,129025,8,10,3,1,No,17,9,4,5,0,32,2,Bachelor's,3,10148,4,1,1,59,179,19821,No
47,57,Female,Divorced,IT,Executive,86830,8,4,3,2,Yes,40,9,3,1,2,35,4,Bachelor's,4,10551,1,1,7,13,1680,14952,No
48,25,Male,Single,Sales,Manager,104640,26,18,4,1,No,38,6,4,5,1,31,3,Master's,1,19490,3,12,18,93,1087,11047,No
49,23,Male,Single,Sales,Executive,82509,26,5,4,1,Yes,21,2,4,5,0,8,3,PhD,4,5668,4,5,9,45,332,28953,Yes
50,27,Male,Divorced,HR,Engineer,96406,23,19,2,3,No,9,3,3,5,2,20,4,Bachelor's,4,17912,3,13,6,37,1603,6033,No
51,25,Male,Single,Operations,Clerk,124220,13,2,3,3,Yes,13,9,3,4,0,34,1,Master's,2,5246,2,13,12,12,253,20277,No
52,50,Female,Single,Finance,Engineer,69519,28,12,2,4,No,11,8,1,5,0,4,3,Bachelor's,2,9653,4,10,14,15,1006,25903,No
53,39,Male,Divorced,IT,Clerk,79649,9,17,3,1,No,16,3,4,2,1,18,1,High School,1,14133,2,6,10,54,1815,27762,No
54,47,Male,Divorced,Finance,Engineer,64524,20,10,4,4,No,16,2,2,3,1,4,4,Bachelor's,4,10649,4,1,13,32,1532,20226,Yes
55,55,Male,Divorced,Finance,Analyst,126493,19,2,2,4,Yes,2,1,2,4,2,20,4,High School,4,19895,1,4,10,16,1154,24628,Yes
56,31,Male,Divorced,Operations,Executive,63885,39,6,2,1,Yes,42,4,4,5,2,9,3,Master's,3,11441,4,5,1,70,1720,18710,No
57,57,Female,Married,Finance,Clerk,74369,12,8,1,2,Yes,44,3,4,3,1,16,2,Master's,4,3888,4,3,1,74,1680,29802,Yes
58,35,Female,Divorced,Finance,Manager,131132,15,19,3,1,No,8,7,4,1,0,26,3,PhD,2,12215,3,0,11,15,1626,20784,Yes
59,52,Male,Married,Sales,Executive,125402,31,11,4,3,No,43,6,3,1,1,38,2,Bachelor's,4,11791,3,2,14,33,470,26490,Yes
60,36,Male,Married,Operations,Manager,60676,14,12,1,1,Yes,42,5,2,3,2,25,1,Master's,2,14075,2,13,16,46,422,6278,Yes
61,29,Male,Married,HR,Executive,94093,11,9,1,2,No,13,1,2,2,0,4,2,PhD,3,18204,2,9,13,54,431,22934,Yes
62,35,Male,Single,IT,Executive,77764,26,2,3,4,Yes,17,2,2,3,0,38,3,Bachelor's,1,12950,2,8,15,60,342,9500,Yes
63,44,Male,Married,Finance,Engineer,80799,27,8,1,4,Yes,39,9,4,3,0,19,2,Master's,2,8413,4,12,7,97,1675,6015,Yes
64,42,Male,Married,IT,Clerk,109414,11,11,3,3,Yes,24,8,3,4,1,14,4,High School,1,9537,4,5,16,54,529,23836,No
65,37,Female,Single,HR,Clerk,135296,38,4,1,3,Yes,3,8,4,1,1,21,1,Master's,1,6569,2,1,4,72,1305,22690,Yes
66,39,Male,Single,IT,Executive,123095,34,10,3,3,No,30,4,1,1,2,15,4,High School,1,4242,1,8,11,38,908,10242,No
67,45,Female,Single,HR,Analyst,142082,19,16,4,4,No,13,2,1,5,0,3,4,PhD,1,7329,1,3,5,34,1596,28044,Yes
68,47,Female,Divorced,Sales,Analyst,102307,6,8,3,3,No,19,1,2,3,0,37,4,PhD,2,13487,4,10,17,19,475,9826,Yes
69,46,Male,Single,Finance,Manager,112062,38,4,3,1,Yes,7,7,4,3,1,16,4,Bachelor's,3,6395,1,12,4,44,180,11201,Yes
70,50,Female,Single,HR,Manager,125432,28,10,2,4,No,9,5,1,2,2,14,2,Bachelor's,4,19824,1,7,5,64,1673,25167,No
71,36,Female,Married,IT,Engineer,61923,1,12,4,2,Yes,19,9,1,1,2,9,4,Bachelor's,2,11039,2,9,8,34,1991,21941,Yes
72,22,Female,Single,Finance,Executive,147449,35,14,4,4,Yes,45,6,4,2,0,7,2,PhD,3,11198,1,6,14,54,519,17105,No
73,46,Female,Divorced,Sales,Manager,131739,8,16,4,1,Yes,40,0,3,4,1,14,4,High School,4,4586,1,11,9,21,566,27650,Yes
74,28,Female,Single,Finance,Manager,134926,7,18,1,1,Yes,22,0,4,5,0,6,3,Bachelor's,1,6824,4,10,16,13,1551,2153,Yes
75,30,Female,Divorced,HR,Executive,108388,11,12,2,3,Yes,18,9,4,2,1,21,4,Bachelor's,4,6436,4,2,18,99,1180,10773,No
76,45,Male,Single,Sales,Engineer,77574,39,18,4,4,Yes,23,1,3,1,2,15,3,PhD,4,11089,4,14,11,76,1445,19171,Yes
77,22,Female,Single,IT,Manager,73391,4,7,1,4,No,2,9,2,4,0,8,2,High School,3,19057,1,7,8,26,1665,6886,Yes
78,29,Female,Single,Sales,Engineer,83664,25,7,1,4,No,11,2,2,3,0,34,1,Master's,4,4310,2,3,14,82,1618,21765,Yes
79,45,Female,Single,Sales,Clerk,97384,12,9,1,2,No,31,0,2,4,0,1,2,Bachelor's,1,12819,3,1,13,74,1389,25950,No
80,32,Male,Divorced,Operations,Engineer,61027,26,1,2,3,No,33,4,3,2,2,32,1,Master's,2,18465,4,10,0,91,1350,24661,Yes
81,38,Female,Divorced,Sales,Analyst,65464,38,6,1,1,Yes,14,2,1,1,0,5,1,Master's,2,16457,4,4,16,62,928,4267,Yes
82,29,Male,Married,Sales,Analyst,64485,12,6,2,1,Yes,16,0,3,2,2,30,4,Bachelor's,3,3477,4,0,0,93,903,22642,Yes
83,56,Female,Divorced,Finance,Engineer,49456,37,12,3,3,No,11,7,4,3,1,22,1,PhD,1,11906,2,12,12,66,1177,2970,No
84,56,Male,Single,IT,Analyst,104795,24,12,1,1,No,33,5,3,3,2,20,2,Bachelor's,1,12868,3,7,7,37,1732,10839,Yes
85,54,Male,Married,Finance,Clerk,65554,16,10,4,1,No,7,8,1,1,1,16,4,High School,4,3508,3,13,12,25,1077,15813,No
86,26,Female,Married,Finance,Executive,76922,13,6,1,3,No,31,2,1,5,2,7,1,High School,3,10319,4,7,15,30,103,19329,Yes
87,49,Female,Married,HR,Analyst,43409,25,17,3,1,No,48,8,4,4,2,7,2,Bachelor's,1,3381,1,2,1,86,1562,16450,Yes
88,28,Male,Single,Finance,Analyst,99327,4,19,3,4,No,46,8,2,4,0,2,1,Master's,1,18287,4,0,12,51,1433,7618,No
89,30,Female,Divorced,Operations,Engineer,121400,11,18,1,2,No,47,0,1,3,2,14,1,High School,1,4845,4,3,17,63,702,26575,No
90,29,Male,Single,Operations,Clerk,66639,32,6,3,3,No,14,2,1,2,0,31,4,High School,2,15562,1,8,2,41,1212,3495,No
91,33,Male,Married,HR,Executive,130110,7,19,2,2,Yes,28,5,1,2,1,14,4,Bachelor's,2,12910,1,8,12,47,419,4047,No
92,55,Male,Single,IT,Engineer,93627,11,10,2,1,Yes,43,7,4,5,1,5,2,Bachelor's,2,7629,4,14,18,79,1498,11364,No
93,54,Male,Single,IT,Engineer,113424,28,8,1,1,Yes,16,3,1,2,0,11,4,PhD,4,8704,2,0,12,47,1727,15091,Yes
94,44,Male,Divorced,Finance,Clerk,49692,23,6,2,4,Yes,19,4,2,4,1,5,4,Bachelor's,4,4776,2,10,18,63,600,4886,Yes
95,45,Female,Divorced,Finance,Executive,119037,23,7,2,3,No,17,8,4,2,2,29,3,Bachelor's,4,18513,1,14,3,69,1785,23572,No
96,58,Male,Married,Finance,Clerk,108840,28,1,4,1,Yes,26,5,2,5,0,11,3,High School,1,18228,4,6,18,86,1357,17161,Yes
97,56,Male,Single,IT,Executive,84200,26,18,1,3,No,6,6,1,4,0,5,2,High School,2,4244,2,5,17,86,1460,6158,Yes
98,43,Female,Single,Sales,Clerk,123063,25,12,3,3,Yes,43,6,1,2,0,32,4,High School,1,4333,4,13,5,56,670,27308,No
99,48,Male,Divorced,Operations,Engineer,87415,29,16,1,3,No,49,3,2,4,1,36,2,Master's,1,6669,4,6,18,21,284,29663,No
100,56,Female,Single,Sales,Engineer,48074,19,10,2,3,No,9,3,4,3,1,15,3,High School,3,18579,4,6,3,62,1561,21845,No
101,22,Female,Single,Sales,Manager,45549,33,10,4,3,Yes,17,3,4,3,2,19,3,High School,1,4933,2,7,3,42,655,8733,Yes
102,56,Female,Single,IT,Analyst,59963,36,14,1,2,Yes,31,4,2,3,2,22,3,Bachelor's,4,3746,3,7,6,37,1303,3657,No
103,58,Male,Divorced,Sales,Clerk,121456,14,10,1,4,No,12,4,1,2,0,34,2,PhD,2,12032,4,9,6,12,1199,7043,Yes
104,35,Male,Married,HR,Manager,126362,14,10,2,3,No,23,7,3,5,2,17,4,High School,2,9827,2,13,15,91,1779,8360,No
105,24,Male,Married,Finance,Analyst,131607,35,11,2,2,No,5,8,2,4,1,12,1,PhD,1,19197,3,10,15,35,1736,18862,No
106,22,Female,Single,HR,Clerk,82265,30,2,1,1,Yes,43,1,2,1,2,25,4,High School,4,3792,1,1,4,63,992,11329,No
107,26,Male,Married,Operations,Executive,46061,28,8,2,3,Yes,36,6,2,3,1,17,2,High School,4,9927,2,11,14,49,1395,22337,No
108,47,Female,Divorced,Finance,Analyst,88226,17,7,2,1,No,36,0,1,3,2,10,3,PhD,4,12742,3,11,3,75,154,27552,Yes
109,35,Male,Divorced,Sales,Engineer,58810,3,8,2,3,Yes,3,0,4,1,1,28,1,Bachelor's,2,9369,2,11,12,77,1824,26812,Yes
110,48,Female,Married,Operations,Manager,90006,16,1,2,2,No,24,3,1,1,1,18,2,High School,4,17800,3,3,18,98,962,29099,Yes
111,30,Male,Married,Finance,Analyst,143502,30,2,2,2,Yes,17,9,2,2,2,18,3,PhD,4,10874,3,3,6,99,1970,6043,No
112,36,Male,Single,Sales,Analyst,52800,29,18,4,2,Yes,39,6,1,4,2,32,2,High School,1,19676,2,12,11,56,176,16242,Yes
113,36,Male,Married,HR,Engineer,146192,15,15,2,4,Yes,26,1,1,3,1,14,1,Master's,3,9864,1,14,8,11,395,2597,Yes
114,47,Female,Single,Finance,Clerk,138959,25,1,3,1,Yes,4,1,2,5,0,16,3,Master's,4,7022,4,10,16,51,1342,28278,Yes
115,34,Female,Single,Sales,Executive,137228,38,5,1,4,Yes,45,0,1,2,2,18,4,Master's,1,14008,3,9,1,43,1400,28752,No
116,53,Male,Divorced,HR,Engineer,105476,38,2,4,3,No,12,9,3,2,1,16,2,Master's,1,15102,4,11,15,30,1701,29133,Yes
117,53,Male,Divorced,Operations,Executive,99460,23,3,4,1,No,1,1,1,5,2,17,1,Bachelor's,4,18342,1,12,6,53,1771,26740,No
118,25,Female,Divorced,Operations,Clerk,87767,25,19,2,2,Yes,21,6,1,5,2,7,4,Master's,3,14110,4,7,17,96,845,4324,No
119,51,Female,Divorced,Operations,Analyst,58054,7,18,1,1,No,19,8,4,5,2,12,1,PhD,2,8171,4,13,6,11,1834,9299,Yes
120,58,Female,Married,Operations,Executive,105319,22,18,3,2,No,21,5,4,1,2,34,2,High School,3,12589,2,12,0,68,1389,13231,Yes
121,44,Male,Divorced,IT,Manager,132789,17,14,2,4,Yes,18,9,2,3,2,10,1,PhD,4,9710,2,12,2,95,999,2569,No
122,36,Female,Married,Finance,Manager,75397,18,8,1,4,No,43,1,2,1,0,5,3,Master's,3,8459,1,2,10,25,142,5328,No
123,50,Male,Divorced,Finance,Engineer,43233,10,12,2,2,Yes,3,9,4,3,0,21,1,Bachelor's,1,17937,2,11,14,29,1484,18524,No
124,57,Female,Married,IT,Clerk,141205,10,10,2,2,No,49,9,3,1,0,3,2,Master's,1,12754,3,12,2,35,1351,27261,Yes
125,34,Male,Single,Sales,Engineer,120020,7,17,2,3,No,44,8,1,4,1,19,3,Master's,3,10048,1,14,12,25,326,27262,No
126,53,Female,Married,Sales,Engineer,55068,38,11,2,4,No,32,6,3,3,0,35,1,Bachelor's,2,12483,2,12,3,79,1186,5280,No
127,28,Female,Married,Operations,Engineer,95727,27,2,2,4,No,10,0,3,2,0,6,1,Bachelor's,3,15449,2,11,7,32,270,21147,No
128,43,Female,Divorced,HR,Manager,120610,33,4,2,3,No,40,8,4,3,1,14,3,Bachelor's,4,18354,1,2,3,51,1062,5590,Yes
129,49,Female,Married,Sales,Manager,100453,1,1,2,4,No,15,1,2,3,0,4,4,Bachelor's,2,3978,3,12,17,46,861,20422,No
130,23,Female,Single,HR,Engineer,134135,34,15,3,2,No,5,3,1,3,2,18,4,Bachelor's,3,11709,1,1,6,81,949,19458,No
131,27,Male,Single,Finance,Manager,55832,4,13,4,1,Yes,4,8,2,4,0,29,3,Bachelor's,3,18760,2,0,10,15,1885,24006,No
132,49,Female,Divorced,HR,Clerk,138464,17,8,3,1,Yes,28,3,3,1,0,35,1,High School,2,14023,2,7,3,46,406,15570,No
133,49,Female,Single,Finance,Engineer,116242,4,4,2,4,Yes,4,2,3,2,0,38,4,Master's,3,19521,1,13,12,31,1873,4225,No
134,41,Female,Married,IT,Manager,43682,26,10,2,3,Yes,15,0,2,1,2,16,3,Master's,4,14145,3,8,8,15,667,16878,Yes
135,51,Male,Single,IT,Executive,122298,4,19,3,2,No,17,6,2,1,2,20,2,Bachelor's,1,17491,3,8,8,41,1806,25907,Yes
136,32,Female,Divorced,Operations,Engineer,53383,1,18,3,1,No,44,5,4,5,2,24,1,PhD,4,10392,4,10,18,26,1091,11533,No
137,49,Male,Married,Sales,Engineer,88160,7,5,4,2,No,3,9,2,4,2,35,2,Bachelor's,3,14447,3,7,2,47,133,11881,No
138,46,Female,Divorced,Operations,Clerk,123332,30,19,3,4,Yes,10,3,2,5,1,19,1,High School,1,11587,1,4,11,26,926,29586,No
139,54,Female,Married,Finance,Analyst,53666,9,16,4,4,Yes,47,5,4,4,2,4,4,PhD,2,13129,3,0,10,46,1765,18747,No
140,22,Male,Single,Operations,Analyst,88817,35,1,2,1,Yes,42,5,2,1,2,33,2,High School,4,16907,3,8,19,32,229,15366,No
141,48,Female,Divorced,HR,Clerk,121198,8,12,1,4,No,23,3,3,1,2,2,2,PhD,2,8428,4,5,10,58,1517,17515,No
142,34,Male,Divorced,Finance,Clerk,140695,24,2,1,3,Yes,18,5,2,4,2,13,3,PhD,1,5589,3,11,16,70,1274,27643,Yes
143,24,Male,Married,IT,Clerk,64642,19,8,1,4,No,1,9,1,1,1,30,4,Bachelor's,3,6034,4,14,13,58,754,12832,No
144,27,Female,Divorced,Sales,Analyst,71830,36,18,1,4,Yes,35,7,3,1,0,34,4,High School,1,3169,4,6,15,70,729,4030,No
145,29,Male,Married,Finance,Clerk,133067,27,16,2,4,No,31,2,4,2,0,30,1,PhD,1,6239,3,7,9,86,1839,8685,Yes
146,48,Female,Married,Finance,Manager,40234,32,5,1,2,Yes,44,3,3,5,2,24,3,High School,2,6415,2,12,3,41,1507,24849,Yes
147,30,Female,Married,HR,Engineer,87616,14,13,3,2,No,1,9,4,5,2,33,3,Bachelor's,4,14408,1,4,9,95,1870,25175,Yes
148,58,Male,Married,Sales,Engineer,39221,18,19,3,1,Yes,3,0,1,5,2,10,1,Bachelor's,1,6484,1,5,19,72,1140,8157,Yes
149,54,Male,Single,IT,Executive,41410,28,3,1,1,Yes,3,3,1,3,0,18,2,Bachelor's,3,17923,3,11,11,16,693,15668,No
150,45,Male,Married,Finance,Executive,110055,29,8,3,1,No,37,9,3,2,0,19,1,Bachelor's,1,9844,1,12,8,31,1137,19001,Yes
151,36,Male,Divorced,Finance,Engineer,91413,16,12,4,4,No,19,9,2,5,2,7,1,Master's,2,6965,1,6,14,94,180,23821,Yes
152,53,Female,Single,HR,Manager,31051,35,2,2,2,Yes,29,8,3,5,0,19,1,PhD,4,10184,4,6,8,15,1330,29722,Yes
153,53,Female,Divorced,Operations,Analyst,140529,31,11,1,3,No,25,7,3,2,1,24,3,Master's,3,8380,2,1,6,70,303,20366,No
154,45,Male,Single,IT,Analyst,105301,4,12,1,4,Yes,33,3,1,1,2,15,1,Bachelor's,2,18285,1,13,11,23,1502,24094,No
155,33,Female,Married,Sales,Manager,106918,37,18,2,4,No,36,6,4,5,2,23,1,PhD,1,3111,2,10,19,25,1907,2193,No
156,23,Female,Single,Finance,Analyst,108116,17,13,3,4,Yes,29,9,3,1,1,4,1,PhD,1,19143,1,11,13,12,1667,10164,Yes
157,24,Female,Single,Finance,Clerk,86563,39,5,2,3,No,26,2,2,5,1,38,4,High School,4,19976,2,13,15,18,122,22842,No
158,58,Female,Divorced,IT,Engineer,127859,26,12,2,1,Yes,4,8,1,4,0,4,2,Bachelor's,2,10413,2,0,18,56,713,3119,Yes
159,38,Male,Divorced,Operations,Engineer,74757,39,2,3,3,Yes,49,9,3,3,1,5,2,Master's,2,17726,1,7,2,94,1285,15351,Yes
160,23,Male,Married,Finance,Manager,107475,4,5,2,1,Yes,14,3,3,5,2,23,2,High School,4,8983,4,4,10,51,1733,25295,Yes
161,23,Female,Single,IT,Analyst,81257,30,7,3,3,No,27,1,2,4,0,37,2,PhD,3,13321,2,9,19,51,243,8540,Yes
162,49,Male,Single,HR,Executive,125500,30,12,3,2,Yes,33,9,3,2,1,11,3,Master's,2,14061,2,14,18,32,203,14394,No
163,44,Male,Single,Operations,Executive,30307,22,16,2,4,No,22,4,3,4,0,11,3,Bachelor's,4,6598,1,1,7,12,1505,18910,No
164,58,Male,Married,Sales,Analyst,86889,11,8,4,4,No,48,1,3,2,0,13,1,Master's,2,4526,2,2,19,10,1578,28528,No
165,53,Female,Married,Finance,Executive,98895,2,9,3,4,No,3,9,3,5,0,14,3,Master's,4,10909,2,5,7,76,1540,25538,No
166,54,Female,Married,IT,Manager,125184,12,15,2,1,Yes,23,5,2,2,0,8,2,Master's,1,4969,4,9,2,80,423,23263,Yes
167,22,Female,Married,HR,Manager,65944,30,5,3,3,No,21,9,3,4,1,25,4,High School,1,12143,2,5,9,12,1294,16860,Yes
168,40,Male,Married,Sales,Analyst,129555,36,13,4,2,No,41,0,3,3,2,18,1,PhD,2,14528,4,7,12,58,675,28358,Yes
169,23,Female,Divorced,IT,Executive,68134,18,5,4,3,No,23,5,3,1,2,18,1,Master's,2,11301,2,4,8,76,1879,7845,Yes
170,47,Female,Single,IT,Manager,57323,26,11,1,4,Yes,4,3,1,1,1,10,2,PhD,1,5354,2,4,5,64,1706,9971,Yes
171,53,Male,Single,Sales,Manager,146205,7,10,3,2,No,21,2,2,3,2,7,2,High School,3,8319,4,6,14,13,373,21057,No
172,27,Female,Single,HR,Clerk,101762,1,13,3,2,No,37,1,1,1,0,14,2,Bachelor's,4,3225,4,9,15,40,551,16153,No
173,53,Female,Single,HR,Clerk,117225,26,9,2,4,No,43,6,1,5,0,15,3,Bachelor's,3,17520,3,12,4,75,980,26144,Yes
174,25,Male,Single,Operations,Manager,126507,23,14,3,3,No,31,8,2,5,0,16,1,Master's,3,6011,2,13,12,87,224,28973,Yes
175,32,Male,Single,Finance,Analyst,55954,26,18,1,4,Yes,21,2,1,4,1,2,2,High School,3,7126,4,14,18,73,1506,25581,No
176,38,Male,Single,Sales,Engineer,85021,6,15,4,3,Yes,26,5,1,4,0,30,4,Bachelor's,1,3613,2,4,1,40,416,23485,No
177,59,Female,Single,Sales,Engineer,119959,6,10,4,2,No,41,8,1,2,0,30,1,High School,2,17082,2,14,5,72,1966,29165,Yes
178,45,Female,Divorced,Sales,Manager,125927,8,7,1,2,No,35,1,2,4,1,18,1,High School,3,19482,2,8,0,75,206,5526,No
179,26,Female,Single,HR,Manager,109866,24,8,3,4,No,38,6,3,5,0,31,3,Master's,1,8458,1,5,14,40,1783,22233,No
180,55,Male,Divorced,Finance,Manager,100427,22,3,3,2,No,24,4,4,4,0,13,1,Master's,4,12002,3,6,14,56,1006,3634,Yes
181,27,Male,Married,Operations,Analyst,34992,19,15,1,1,Yes,11,4,4,1,2,20,2,High School,2,5699,1,11,13,31,1586,13201,Yes
182,43,Female,Single,IT,Clerk,31961,37,16,2,2,Yes,41,6,2,2,1,35,2,High School,4,10517,3,7,6,83,529,2093,No
183,32,Female,Married,IT,Manager,42497,18,4,4,1,Yes,29,8,4,2,0,23,4,Master's,3,4019,2,12,4,92,803,21750,No
184,37,Male,Married,Sales,Manager,147551,31,6,1,2,Yes,47,3,2,5,0,33,1,High School,2,18903,2,4,19,55,1460,9716,Yes
185,54,Male,Married,Finance,Executive,62551,37,1,1,4,No,3,8,2,4,0,38,1,Master's,3,16698,4,13,15,98,1861,16331,No
